"Gene","Module","kME","kWithin","z.kWithin","GS.virus","hubness"
"Blue_G59","turquoise",-0.793275769922353,16.8063787425738,1.11848273852016,0,0.801185887596553
"Blue_G45","turquoise",-0.853921162678242,19.9215477031371,1.58916584727321,0,2.27463084985654
"Blue_G56","turquoise",-0.818851809052584,19.8033171564608,1.57130192978955,0,1.79975749337922
"Blue_G28","turquoise",-0.782720111972727,20.1539830615738,1.6242854181466,0,1.41637417468463
"Blue_G21","turquoise",-0.859330225683938,18.3175577185714,1.34681270306122,0,1.98435845926019
"Blue_G68","turquoise",-0.870091374875273,20.4245167731108,1.66516141876832,0,2.59408310947659
"Blue_G19","turquoise",-0.90157676775189,17.3040062334365,1.19367122985577,0,2.29738051666444
"Yellow_G28","blue",0.244014986504179,6.62950423190172,-0.419181186844105,0,2.68536298304957
"Blue_G36","turquoise",-0.704029790589399,14.2241417783211,0.72832241744028,0,-0.918510193664087
"Blue_G38","turquoise",-0.793038354140961,14.6758189724323,0.796568098033698,0,0.32072399991139
"Blue_G73","turquoise",-0.757536566921837,14.9512646635694,0.838186268938172,0,-0.0714613170015652
"Blue_G87","turquoise",-0.884761121071666,18.4330621455351,1.36426472041445,0,2.3353883023389
"Yellow_G11","blue",0.107295032983603,4.17074880418446,-0.790684197766537,0,0.197474571438378
"Blue_G52","turquoise",-0.77773175315991,13.4344205462718,0.609000335956131,0,-0.153157461708337
"Blue_G31","turquoise",-0.779348972297194,16.3861446323599,1.05498791692186,0,0.528956493968398
"Yellow_G63","blue",0.0287358711582712,5.91141960775319,-0.527679411987204,0,0.513371118000689
"Yellow_G18","blue",0.20383611275484,4.69797587370643,-0.711023389880057,0,1.2850760471145
"Blue_G99","turquoise",-0.833807382035178,18.541546625523,1.38065606641801,0,1.7082283613523
"Blue_G2","turquoise",-0.876591356789925,20.109233876139,1.61752408802896,0,2.60653855531236
"Yellow_G60","blue",0.130562914044777,2.81765965995888,-0.995127748946799,0,-0.359659908968052
"Blue_G58","turquoise",-0.816985265876362,18.5792242707931,1.38634892976851,0,1.50159197395135
"Yellow_G61","blue",-0.0330757755827654,1.35983490486083,-1.2153962147775,0,-1.97014245805258
"Blue_G81","turquoise",-0.853566856223414,21.6400430497363,1.84882005619569,0,2.65518982462898
"Yellow_G53","blue",0.0790285063214204,5.34456032962967,-0.61332840587177,0,0.614175907005939
"Blue_G11","turquoise",-0.800012744061371,12.3675456067614,0.447802012675235,0,-0.107354198122217
"Yellow_G44","blue",0.0653020009562445,3.99928595669146,-0.816591192576558,0,-0.243575897818955
"Blue_G51","turquoise",-0.820065417354705,16.8122381310106,1.1193680565237,0,1.14501826801045
"Yellow_G49","blue",0.10439122711666,2.68189219295614,-1.01564138857449,0,-0.650538589837836
"Blue_G63","turquoise",-0.724183595787391,12.7602627156282,0.507139182505182,0,-0.988866743938003
"Blue_G85","turquoise",-0.700569976705241,9.26577373935613,-0.0208568766740691,0,-2.07384140199529
"Yellow_G41","blue",0.353141552604684,2.30119913769645,-1.07316179693717,0,1.18918485811494
"Yellow_G71","blue",0.0857523618287434,5.90631137522004,-0.528451234896128,0,0.980527651192341
"Yellow_G47","blue",-0.0207514967592694,1.42919544395055,-1.2049162586092,0,-2.03334000737953
