"WellName","FieldIndex","ObjectNumber","(nucleus) MeanIntensity CH1","(nucleus) Area","(nucleus) Sphericity"
"C3",1,1,1496.88383529024,207.388624494424,0.946086277799574
"C3",1,2,1384.81340682995,416.825103741839,0.645099743963678
"C3",1,3,1382.90905451018,453.638613248762,0.512022865905807
"C3",1,4,1015.96412734024,216.321912585603,0.879098314657126
"C3",1,5,1186.22656413899,223.567463466965,0.911754810022128
"C3",1,6,1184.60588349758,545.369941499316,0.597256073241372
"C3",1,7,1242.11782097191,348.847531936443,0.884716822969879
"C3",1,8,994.219828091062,215.869498154623,0.880949483621978
"C3",1,9,1409.3450406332,93.9528095909413,0.752177781260041
"C3",1,10,1228.70258094757,221.098231302972,0.966699085082703
"C3",1,11,1418.12569064678,336.505739882369,0.787132514158134
"C3",1,12,1640.34377455551,337.192153726721,0.892458988479725
"C3",1,13,985.356052390213,207.002101340083,0.901719579467409
"C3",1,14,1460.49979651602,438.279843501761,0.470529279775482
"C3",1,15,855.693116674512,205.726454254132,0.917344165266929
"C3",1,16,1000.20609449084,185.249057612758,0.811481054228545
"C3",1,17,1270.30977584561,234.553386094479,0.942973598750036
"C3",1,18,1152.77390716473,153.17088070819,0.705148773680823
"C3",1,19,1352.67098017508,459.257811649046,0.384794883992723
"C3",1,20,1067.03840955624,380.772885866265,0.865639627839359
"C3",1,21,1160.15810809295,345.166544090693,0.907293617726054
"C3",1,22,1451.79897726536,818.678540304604,0.381358955171225
"C3",1,23,1091.84338535848,300.384012261702,0.874832085212507
"C3",1,24,842.705966799794,232.063508236444,0.9149942238776
"C3",1,25,1277.83300580557,366.827192498162,0.85234945853302
"C3",1,26,1327.29353894267,368.568624715209,0.896136770440779
"C3",1,27,1132.2233447809,307.347830225106,0.922406984681823
"C3",1,28,1021.21363288904,204.542598224761,0.973529534551887
"C3",1,29,1562.26764318832,157.640301375037,0.801575334655809
"C3",1,30,1498.10789580386,448.85729098437,0.678607224412507
"C3",1,31,810.351255542161,353.877449240589,0.920392201508837
"C3",1,32,1746.77251335826,421.430082943098,0.899854149292859
"C3",1,33,828.74849189446,213.370793986414,0.798455931468777
"C3",1,34,1040.13291832661,227.534122818133,0.844890365163121
"C3",1,35,1215.45028298967,510.745163713787,0.88564668193178
"C3",1,36,997.512958620413,245.67294915663,0.93205217051342
"C3",1,37,1355.62516519671,182.318322309111,0.885486889206982
"C3",1,38,1163.16796818165,237.103896350463,0.924464187956468
"C3",1,39,1169.21096055109,226.108378623865,0.852128489167257
"C3",1,40,788.183108714987,228.319830966789,0.887664162719225
"C3",1,41,1137.66588266983,231.760440681969,0.909765271461472
"C3",1,42,1220.11037391843,229.166465378619,0.883827642682548
"C3",1,43,1273.66694251072,245.639236126977,0.905077426274242
"C3",1,44,939.359933564198,215.622352949274,0.869816338827603
"C3",1,45,1294.66272560395,250.51440708922,0.916845535046678
"C3",1,46,870.815347358265,198.625109979887,0.896352529836993
"C3",1,47,1432.97662600439,221.768879778915,0.897882779400609
"C3",1,48,1273.3211122926,459.788914328373,0.812304581109924
"C3",1,49,1253.22104385683,251.666472857296,0.869684913842457
"C3",1,50,1156.3422488029,256.699566585457,0.832966016179579
"C3",1,51,1232.21854102443,376.05844994264,0.827742687407086
"C3",1,52,1317.09018731402,228.491312281247,0.877775260461964
"C3",1,53,1232.75218447475,390.536526322837,0.892764073451448
"C3",1,54,1248.77358568995,200.979208002461,0.912762010161028
"C3",1,55,1114.85850403891,249.378508256937,0.949106819263514
"C3",1,56,1686.47892564477,386.004109126854,0.919998013361516
"C3",1,57,1291.9594651656,457.165505094145,0.625905275556886
"C3",1,58,1329.78930182737,245.352091443248,0.876316037056446
"C3",1,59,1163.03110610481,375.310487278997,0.886147192206505
"C3",1,60,1207.04729174814,233.005266220048,0.948832599799181
"C3",1,61,1187.56353816047,258.699315121151,0.900054323277215
"C3",1,62,1256.34538357764,203.494326561028,0.824388987794248
"C3",1,63,1318.67441167467,363.277268907098,0.861905001640854
"C3",1,64,1109.03173587598,196.369758637862,0.945341642692473
"C3",1,65,1329.30051819374,418.636969172605,0.872516823404514
"C3",1,66,1679.01785541277,474.271352684363,0.91500498597497
"C3",1,67,1321.35217293157,508.200331096272,0.900640021305629
"C3",1,68,1438.98143964067,229.74217305647,0.877663907669265
"C3",1,69,1647.12486091842,430.276502631436,0.884214612341713
"C3",1,70,1215.60527213986,345.60985060485,0.917627424653614
"C3",1,71,1400.81369440794,284.450631901859,0.909431047300151
"C3",1,72,1092.86050945661,203.044831902086,0.955560156295463
"C3",1,73,1203.39380383048,237.164685836247,0.891008109700428
"C3",1,74,1188.40695396355,210.30024594791,0.858455638108799
"C3",1,75,1190.2653991138,250.237102730741,0.907465639571075
"C3",1,76,1077.86846044347,304.734500456833,0.931740054895988
"C3",1,77,900.187858918141,213.558809726721,0.99
"C3",1,78,845.645786030055,230.411030308516,0.879134264410332
"C3",1,79,1021.45526829874,219.895732572188,0.885314089264128
