"WellName","FieldIndex","ObjectNumber","(Virus) MeanIntensity CH2"
"C3",1,1,456.810825125638
"C3",1,2,264.115285227379
"C3",1,3,494.468074548122
"C3",1,4,216.253253921656
"C3",1,5,128.446030459728
"C3",1,6,86.4783865337608
"C3",1,7,452.48603299287
"C3",1,8,356.584653356655
"C3",1,9,304.349373206177
"C3",1,10,284.766393558573
"C3",1,11,510.350654648812
"C3",1,12,464.13746048711
"C3",1,13,199.55123465609
"C3",1,14,153.077962062053
"C3",1,15,450.235505711584
"C3",1,16,387.273416722081
"C3",1,17,258.682281789234
"C3",1,18,367.574235868532
"C3",1,19,77.2122675306366
"C3",1,20,240.183023247986
"C3",1,21,372.200864663132
"C3",1,22,311.250603317125
"C3",1,23,166.17348270616
"C3",1,24,441.831935681236
"C3",1,25,459.567120704242
"C3",1,26,207.19521938516
"C3",1,27,297.744004505238
"C3",1,28,407.67367273523
"C3",1,29,423.64698112624
"C3",1,30,256.550286243816
"C3",1,31,214.575219251828
"C3",1,32,361.409048821446
"C3",1,33,90.0778138364392
"C3",1,34,205.990689278196
"C3",1,35,412.830455246893
"C3",1,36,115.544191338284
"C3",1,37,175.906744786083
"C3",1,38,291.105792366276
"C3",1,39,283.751179863535
"C3",1,40,109.514629077526
"C3",1,41,381.12546102691
"C3",1,42,197.425239549948
"C3",1,43,301.032927511614
"C3",1,44,296.411335159885
"C3",1,45,403.595448899742
"C3",1,46,312.082224834367
"C3",1,47,303.878241734209
"C3",1,48,518.568901280266
"C3",1,49,364.627385842438
"C3",1,50,394.824855513212
"C3",1,51,376.987835219684
"C3",1,52,388.596155197429
"C3",1,53,480.288376044559
"C3",1,54,313.147500684009
"C3",1,55,349.141273570692
"C3",1,56,556.356095937712
"C3",1,57,256.395402388463
"C3",1,58,474.921077544348
"C3",1,59,247.150616471321
"C3",1,60,525.216761038428
"C3",1,61,240.050314428721
"C3",1,62,222.275326794169
"C3",1,63,444.368314933943
"C3",1,64,435.791783913549
"C3",1,65,386.20530049521
"C3",1,66,352.782623520834
"C3",1,67,349.023176401028
"C3",1,68,566.571284725581
"C3",1,69,148.09586057383
"C3",1,70,201.639641953608
"C3",1,71,166.503185251269
"C3",1,72,435.290658845161
"C3",1,73,290.522967759936
"C3",1,74,304.398985292384
"C3",1,75,533.996818200696
"C3",1,76,250.516825665856
"C3",1,77,562.735352149194
"C3",1,78,150.867102362764
"C3",1,79,478.140273565819
"C3",1,80,358.774520308979
"C3",1,81,273.367937601005
"C3",1,82,299.259571593551
"C3",1,83,480.67696013347
"C3",1,84,524.456704685226
"C3",1,85,118.583861473839
"C3",1,86,730.531353002846
"C3",1,87,629.353118525333
"C3",1,88,256.961379841326
"C3",1,89,312.274171375168
"C3",1,90,240.374317335599
"C3",1,91,308.839869369177
"C3",1,92,408.7831325895
"C3",1,93,332.403537791667
"C3",1,94,343.04083978452
"C3",1,95,497.456912323567
"C3",1,96,55.535782570298
"C3",1,97,261.026834311781
"C3",1,98,337.330072551547
"C3",1,99,226.027923521878
"C3",1,100,447.315948834445
"C3",1,101,266.539322945357
"C3",1,102,268.498381547268
"C3",1,103,462.681416063582
"C3",1,104,420.11528876738
"C3",1,105,301.963102656311
"C3",1,106,280.669144065625
"C3",1,107,146.220165177921
"C3",1,108,236.325849853805
"C3",1,109,631.818827855585
"C3",1,110,315.510198363914
"C3",1,111,429.619026853198
"C3",1,112,297.856820208233
"C3",1,113,393.178915539374
"C3",1,114,313.672782921443
"C3",1,115,483.670634681775
"C3",1,116,259.563989943874
"C3",1,117,114.912779758196
"C3",1,118,427.825961975324
"C3",1,119,291.471916820682
"C3",1,120,495.60890966363
"C3",1,121,334.925391977517
"C3",1,122,494.448901259973
"C3",1,123,362.027235140891
"C3",1,124,278.116942440827
"C3",1,125,407.071832938379
"C3",1,126,264.891388445424
"C3",1,127,522.171107750472
"C3",1,128,337.590082016421
"C3",1,129,76.417148848449
"C3",1,130,263.339590387277
"C3",1,131,124.115368785555
"C3",1,132,58.5973632686477
"C3",1,133,327.105038130513
"C3",1,134,397.743276403716
"C3",1,135,228.628773360162
"C3",1,136,160.538920865127
"C3",1,137,247.756310332596
"C3",1,138,133.936967317942
"C3",1,139,404.360215418008
"C3",1,140,388.940360612997
"C3",1,141,128.565018852054
"C3",1,142,245.111736611515
"C3",1,143,445.665926610753
"C3",1,144,299.832891760631
