dpi,Position,mean,sem,count
1,1,6708.333333333333,1109.0272514435542,3
1,2,8162.0,1046.8630919720752,3
1,3,7773.333333333333,445.0956201886411,3
1,4,6783.0,988.8671970155211,3
1,5,7609.333333333333,725.0308805683919,3
1,6,6771.333333333333,530.1673739909354,3
1,7,7457.333333333333,394.3350239467845,3
1,8,8018.0,390.82263666954265,3
1,9,7202.0,681.0509036286005,3
1,10,7472.333333333333,754.0153255147479,3
1,11,7828.666666666667,406.9174090374824,3
1,12,6349.666666666667,631.6901490797877,3
1,13,6831.0,443.7074862263802,3
1,14,6798.666666666667,1099.3474326971332,3
1,15,7922.333333333333,530.3245337631581,3
1,16,7026.333333333333,348.9375939110667,3
1,17,6056.0,575.7867081943915,3
1,18,6295.0,592.7790482127384,3
1,19,7949.0,514.8031986432615,3
1,20,6252.0,213.36900743391328,3
1,21,6057.333333333333,160.02534521478503,3
1,22,6459.333333333333,335.0031508972881,3
1,23,6369.0,252.2941405053501,3
1,24,6860.333333333333,238.37388932328798,3
1,25,6236.0,350.9743580377347,3
1,26,5679.333333333333,223.80373346106435,3
1,27,7503.666666666667,1033.51912308277,3
1,28,7005.666666666667,1163.9275941588653,3
1,29,6824.0,152.13261758522836,3
1,30,7309.666666666667,441.2324909966526,3
1,31,8366.333333333334,648.1196734485931,3
1,32,6728.666666666667,1011.4205082182408,3
1,33,7162.666666666667,294.07104205918984,3
1,34,7418.0,1354.6011713169796,3
1,35,7005.0,893.2286008258656,3
1,36,7966.0,827.1845823837225,3
1,37,6970.0,615.0165309431392,3
1,38,6608.0,659.3590321921232,3
1,39,6783.0,668.178369399469,3
1,40,6254.333333333333,717.4699374267268,3
1,41,6987.333333333333,229.27518642694653,3
1,42,7662.333333333333,355.13111819595747,3
1,43,6530.0,883.412323512262,3
1,44,7856.666666666667,508.0243869911933,3
1,45,7284.666666666667,668.6180607126246,3
1,46,7516.666666666667,467.5854051519478,3
1,47,6670.666666666667,411.3799271287363,3
1,48,6898.666666666667,931.2025081104063,3
